Lisboa: Portugal
Madri: Espanha
Paris: França
Bruxelas: Bélgica
Amsterdã: Holanda
Luxemburgo: Luxemburgo
Berlim: Alemanha
Viena: Áustria
Berna: Suíça
Vaduz: Liechtenstein
Mônaco: Mônaco
Belgrado: Sérvia
Zagreb: Croácia
Liubliana: Eslovênia
Sarajevo: Bósnia e Herzegovina
Escópia: Macedônia
Podgorica: Montenegro
